% Model,cmt.mph
% Version,COMSOL 6.3.0.420
% Date,"Sep 5 2025, 06:53"
% Table,Accumulated Probe Table 2 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21,neff2,xpol1,ypol1,zpol1,xpol2,ypol2,zpol2
1.0E-8,1.4987921057613849+9.948270714711092E-9i,0.11774252169261668+5.35584592800469E-15i,0.11774257712506618-5.35584844950376E-15i,610370.2694985018,610381.1743110643,98095.45762036266+4.536309651254636E-9i,98124.84939626392-4.623323530052706E-9i,2.4041627639544965-1.2347670437091718E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203432,0.013236728497592897,0.2822575653820644
1.0E-8,2.4041627639544965-1.2347670437091718E-15i,0.11774252169261668+5.35584592800469E-15i,0.11774257712506618-5.35584844950376E-15i,610370.2694985018,610381.1743110643,98095.45762036266+4.536309651254636E-9i,98124.84939626392-4.623323530052706E-9i,2.4041627639544965-1.2347670437091718E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203432,0.013236728497592897,0.2822575653820644
1.5E-8,1.498792105761383+9.948271401030215E-9i,0.1125024512666944-4.103246542548001E-15i,0.11250241824989039+4.103245338342354E-15i,547754.7820447382,547765.2714568935,93799.17911510525-2.4687519470478437E-9i,93796.6423332196+3.346943627691998E-9i,2.404162763954496-4.115890145697242E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203417,0.013236728497592751,0.28225756538206437
1.5E-8,2.404162763954496-4.115890145697242E-16i,0.1125024512666944-4.103246542548001E-15i,0.11250241824989039+4.103245338342354E-15i,547754.7820447382,547765.2714568935,93799.17911510525-2.4687519470478437E-9i,93796.6423332196+3.346943627691998E-9i,2.404162763954496-4.115890145697242E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203417,0.013236728497592751,0.28225756538206437
2.0E-8,1.498792105761383+9.948271401030217E-9i,0.10750089253120695-4.7569642729892455E-15i,0.10750083727210556+4.75696182774842E-15i,491794.0541354366,491805.9523803497,89651.06187056216-3.5173914393121135E-9i,89636.24832242136+3.887788152636937E-9i,2.4041627639544916,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203412,0.01323672849759105,0.28225756538206787
2.0E-8,2.4041627639544916,0.10750089253120695-4.7569642729892455E-15i,0.10750083727210556+4.75696182774842E-15i,491794.0541354366,491805.9523803497,89651.06187056216-3.5173914393121135E-9i,89636.24832242136+3.887788152636937E-9i,2.4041627639544916,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203412,0.01323672849759105,0.28225756538206787
2.5E-8,1.4987921057613849+9.948270371551546E-9i,0.10273411385022228-1.7098325432822135E-14i,0.10273433066613678+1.7098361518100198E-14i,441748.6449944562,441754.32602303557,85705.88770022274-1.3624422693755851E-8i,85704.20806629337+1.4152843935228215E-8i,2.4041627639544907-4.1158901456972783E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.70450570612034,0.013236728497593239,0.28225756538206614
2.5E-8,2.4041627639544907-4.1158901456972783E-16i,0.10273411385022228-1.7098325432822135E-14i,0.10273433066613678+1.7098361518100198E-14i,441748.6449944562,441754.32602303557,85705.88770022274-1.3624422693755851E-8i,85704.20806629337+1.4152843935228215E-8i,2.4041627639544907-4.1158901456972783E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.70450570612034,0.013236728497593239,0.28225756538206614
5.0E-8,1.498792105761378+9.948271057870717E-9i,0.08198749954947251-3.379827414511987E-14i,0.08198741759398656+3.379824036004291E-14i,259676.8560209326,259687.98054765363,68446.2797742153-2.6468929528767432E-8i,68434.64856848012+2.8354594545302382E-8i,2.404162763954497,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203399,0.013236728497593109,0.28225756538206614
5.0E-8,2.404162763954497,0.08198749954947251-3.379827414511987E-14i,0.08198741759398656+3.379824036004291E-14i,259676.8560209326,259687.98054765363,68446.2797742153-2.6468929528767432E-8i,68434.64856848012+2.8354594545302382E-8i,2.404162763954497,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203399,0.013236728497593109,0.28225756538206614
