% Model,tutorial_comsol_projeto1.mph
% Version,COMSOL 6.3.0.420
% Date,"Sep 3 2025, 13:27"
% Table,Accumulated Probe Table 3 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21
1.0E-8,1.4988027009900133+2.2245248809782402E-9i,0.4706211800087046-4.775457797527019E-10i,0.4705800063931038+4.775040003190457E-10i,8268276.8248277195,8267553.451409997,989488.1211894719-0.019717712198955167i,989549.4374938682-0.030544873560223892i
1.0E-8,2.4041634205075213+7.2711675959257135E-16i,0.4706211800087046-4.775457797527019E-10i,0.4705800063931038+4.775040003190457E-10i,8268276.8248277195,8267553.451409997,989488.1211894719-0.019717712198955167i,989549.4374938682-0.030544873560223892i
2.006711409395973E-8,1.498802700990017+2.224522456086324E-9i,0.4588596544913535-3.6808621442954183E-10i,0.4588670002640268+3.6809210703227754E-10i,8267178.386367491,8267310.733617201,930051.8786080978-0.02026116928697495i,930300.262647693-0.029096482027030246i
2.006711409395973E-8,2.404163420507527+9.69489012790085E-16i,0.4588596544913535-3.6808621442954183E-10i,0.4588670002640268+3.6809210703227754E-10i,8267178.386367491,8267310.733617201,930051.8786080978-0.02026116928697495i,930300.262647693-0.029096482027030246i
3.0134228187919464E-8,1.4988027009900131+2.2245236685322864E-9i,0.4468051456138891-2.1065938648747433E-11i,0.4467657017499201+2.1064078952128892E-11i,8267206.621255214,8266476.793999699,874602.1545168279-0.020429887812916513i,874790.2865178755-0.02767910437295499i
3.0134228187919464E-8,2.4041634205075195+7.271167595925733E-16i,0.4468051456138891-2.1065938648747433E-11i,0.4467657017499201+2.1064078952128892E-11i,8267206.621255214,8266476.793999699,874602.1545168279-0.020429887812916513i,874790.2865178755-0.02767910437295499i
4.02013422818792E-8,1.4988027009900053+2.2245256892755614E-9i,0.4346331938781854+2.959417986944315E-10i,0.43461659049873513-2.959304934511866E-10i,8267881.217611851,8267565.377103538,822960.1002915519-0.02052514597092594i,823023.0589471026-0.026786947764727814i
4.02013422818792E-8,2.4041634205075195-9.694890127900978E-16i,0.4346331938781854+2.959417986944315E-10i,0.43461659049873513-2.959304934511866E-10i,8267881.217611851,8267565.377103538,822960.1002915519-0.02052514597092594i,823023.0589471026-0.026786947764727814i
5.026845637583893E-8,1.498802700990007+2.2245236685323E-9i,0.4222223985919315+6.172793842527294E-10i,0.4221555741219-6.171816884226372E-10i,8268572.722005068,8267264.068102034,774414.5559381347-0.020398137941788005i,774572.6054284794-0.02588223237654507i
5.026845637583893E-8,2.404163420507523+4.847445063950458E-16i,0.4222223985919315+6.172793842527294E-10i,0.4221555741219-6.171816884226372E-10i,8268572.722005068,8267264.068102034,774414.5559381347-0.020398137941788005i,774572.6054284794-0.02588223237654507i
6.033557046979867E-8,1.4988027009900082+2.2245236685322976E-9i,0.4098730855812884+1.4683786312533531E-9i,0.4099135273341457-1.4685235146521303E-9i,8267360.031365753,8268175.763218125,729227.6120903385-0.02022846806614226i,729417.2286498195-0.025369257326364386i
6.033557046979867E-8,2.4041634205075204,0.4098730855812884+1.4683786312533531E-9i,0.4099135273341457-1.4685235146521303E-9i,8267360.031365753,8268175.763218125,729227.6120903385-0.02022846806614226i,729417.2286498195-0.025369257326364386i
7.040268456375839E-8,1.4988027009900147+2.2245228602349797E-9i,0.3976344271744651+2.0106532444142033E-9i,0.3976702232069999-2.0108342483817538E-9i,8267542.815908528,8268287.080518425,686965.5044469453-0.019620723399943044i,687275.2348455618-0.024729490842353794i
7.040268456375839E-8,2.404163420507523-4.847445063950458E-16i,0.3976344271744651+2.0106532444142033E-9i,0.3976702232069999-2.0108342483817538E-9i,8267542.815908528,8268287.080518425,686965.5044469453-0.019620723399943044i,687275.2348455618-0.024729490842353794i
8.046979865771812E-8,1.4988027009900193+2.2245236685322723E-9i,0.3853860230893524+2.1388006197170728E-9i,0.3854011622629567-2.1388846385240525E-9i,8267411.4584680395,8267736.228361035,647437.7125497855-0.01919649670454816i,647733.2235094123-0.024288255368697886i
8.046979865771812E-8,2.4041634205075257+7.271167595925649E-16i,0.3853860230893524+2.1388006197170728E-9i,0.3854011622629567-2.1388846385240525E-9i,8267411.4584680395,8267736.228361035,647437.7125497855-0.01919649670454816i,647733.2235094123-0.024288255368697886i
9.053691275167785E-8,1.4988027009900156+2.224524072680932E-9i,0.37328978390445033+2.6846853484534013E-9i,0.3732301227340263-2.6842562676775127E-9i,8268950.847239569,8267629.2592753945,610601.143905649-0.018575182047136957i,610703.4210414283-0.023535079553193103i
9.053691275167785E-8,2.404163420507529,0.37328978390445033+2.6846853484534013E-9i,0.3732301227340263-2.6842562676775127E-9i,8268950.847239569,8267629.2592753945,610601.143905649-0.018575182047136957i,610703.4210414283-0.023535079553193103i
