% Model,tutorial_comsol_projeto1.mph
% Version,COMSOL 6.3.0.420
% Date,"Aug 30 2025, 19:06"
% Table,Accumulated Probe Table 3 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21
1.0E-8,1.4988027009900182+2.2245220519376684E-9i,-8.15730048904084E-6+3.456616715139032E-9i,-8.155115008619607E-6-3.455690628357629E-9i,8268276.824827743,7946350.471538797,253.49489751847582+0.0497955240185791i,-69.96660531212366-0.005389395122061568i
1.0E-8,2.404163420507523+4.847445063950458E-16i,-8.15730048904084E-6+3.456616715139032E-9i,-8.155115008619607E-6-3.455690628357629E-9i,8268276.824827743,7946350.471538797,253.49489751847582+0.0497955240185791i,-69.96660531212366-0.005389395122061568i
2.006711409395973E-8,1.4988027009900116+2.22451881874847E-9i,-2.558896119627138E-5+3.525089236011857E-9i,-2.55855349957595E-5-3.524617248796342E-9i,8267178.386367502,7946359.941888618,-130.08151990932294+0.04954310867830437i,-33.36796536619135-0.0047654034937818805i
2.006711409395973E-8,2.404163420507525-4.847445063950438E-16i,-2.558896119627138E-5+3.525089236011857E-9i,-2.55855349957595E-5-3.524617248796342E-9i,8267178.386367502,7946359.941888618,-130.08151990932294+0.04954310867830437i,-33.36796536619135-0.0047654034937818805i
3.0134228187919464E-8,1.4988027009900182+2.22452245608632E-9i,1.6297285661971972E-5+3.2913354100016187E-9i,1.6295375120612154E-5-3.290949564618458E-9i,8267206.621255318,7946519.509820665,150.04231726711126+0.04798596334217218i,-35.79879766681867-0.004285589236911204i
3.0134228187919464E-8,2.404163420507525-7.271167595925656E-16i,1.6297285661971972E-5+3.2913354100016187E-9i,1.6295375120612154E-5-3.290949564618458E-9i,8267206.621255318,7946519.509820665,150.04231726711126+0.04798596334217218i,-35.79879766681867-0.004285589236911204i
4.02013422818792E-8,1.4988027009900122+2.2245212436403783E-9i,-1.787898363076058E-5+3.1784404224098044E-9i,-1.7875374196249688E-5-3.177798754360613E-9i,8267881.217611897,7946495.12567464,123.26954502088644+0.046719675849888335i,-30.42161138285541-0.0038429030850877003i
4.02013422818792E-8,2.404163420507523+4.847445063950454E-16i,-1.787898363076058E-5+3.1784404224098044E-9i,-1.7875374196249688E-5-3.177798754360613E-9i,8267881.217611897,7946495.12567464,123.26954502088644+0.046719675849888335i,-30.42161138285541-0.0038429030850877003i
5.026845637583893E-8,1.4988027009900096+2.2245240726809464E-9i,-4.588287670036938E-5+3.2219865032919837E-9i,-4.586793812732122E-5-3.220937487096788E-9i,8268572.722005127,7946176.49472769,151.7062279263791+0.045117382604182785i,-1.9028379767457406-0.0033944946238953053i
5.026845637583893E-8,2.404163420507524,-4.588287670036938E-5+3.2219865032919837E-9i,-4.586793812732122E-5-3.220937487096788E-9i,8268572.722005127,7946176.49472769,151.7062279263791+0.045117382604182785i,-1.9028379767457406-0.0033944946238953053i
6.033557046979867E-8,1.4988027009900122+2.224522860234985E-9i,-1.5919792535441955E-5+3.046988324729439E-9i,-1.5916962401761323E-5-3.0464466478034568E-9i,8267360.03136582,7946185.790614756,167.70093311531002+0.043497905675466735i,-24.617474448742552-0.003100944977131458i
6.033557046979867E-8,2.404163420507524+4.84744506395045E-16i,-1.5919792535441955E-5+3.046988324729439E-9i,-1.5916962401761323E-5-3.0464466478034568E-9i,8267360.03136582,7946185.790614756,167.70093311531002+0.043497905675466735i,-24.617474448742552-0.003100944977131458i
7.040268456375839E-8,1.4988027009900016+2.2245216477890535E-9i,-7.970109509807423E-6+2.914900374287327E-9i,-7.96874409620288E-6-2.9144010029020206E-9i,8267542.815908609,7946412.798914526,84.50961233988362+0.04186122681331452i,-12.916184931943626-0.0027663660664632877i
7.040268456375839E-8,2.404163420507529,-7.970109509807423E-6+2.914900374287327E-9i,-7.96874409620288E-6-2.9144010029020206E-9i,8267542.815908609,7946412.798914526,84.50961233988362+0.04186122681331452i,-12.916184931943626-0.0027663660664632877i
8.046979865771812E-8,1.4988027009900107+2.224521647789034E-9i,-2.8430020451823605E-6+2.8027777775464985E-9i,-2.8425343637035533E-6-2.8023167130685625E-9i,8267411.458468105,7946340.699806545,272.0387239390627+0.03958024869487771i,-59.00034406118268-0.002591123580495684i
8.046979865771812E-8,2.4041634205075257+4.847445063950429E-16i,-2.8430020451823605E-6+2.8027777775464985E-9i,-2.8425343637035533E-6-2.8023167130685625E-9i,8267411.458468105,7946340.699806545,272.0387239390627+0.03958024869487771i,-59.00034406118268-0.002591123580495684i
9.053691275167785E-8,1.498802700990013+2.224523264383636E-9i,-1.956409931024319E-5+2.7644755745221963E-9i,-1.9557395919595824E-5-2.763528362007184E-9i,8268950.847239624,7946404.290306986,193.04843348791874+0.03791028989526799i,-92.42019180268811-0.002415204981018925i
9.053691275167785E-8,2.4041634205075217,-1.956409931024319E-5+2.7644755745221963E-9i,-1.9557395919595824E-5-2.763528362007184E-9i,8268950.847239624,7946404.290306986,193.04843348791874+0.03791028989526799i,-92.42019180268811-0.002415204981018925i
1.0060402684563759E-7,1.4988027009900071+2.224522051937693E-9i,-1.22769612407691E-5+2.6712969824481976E-9i,-1.2274497505586359E-5-2.670760907744541E-9i,8267835.219976651,7946460.46844938,171.84790582440792+0.035820798595658024i,-62.31959708315771-0.002129521228046409i
